,Bird,sex,day_group,treatment,order,cort,AMaverage_food,PMaverage_food,averageFood_perDay,AMtotal_food,PMtotal_food,wholeDay_totalFood,q0,q1,q2,fpd
1,Z1,M,2,C,CNR,3.547,3.4,6.6,10,17,33,50,25,11.7439988,8.58808928,3.444866067
2,Z1,M,2,N,CNR,3.415,5.4,4.6,10,27,23,50,45,16.74532609,11.82840549,5.969331572
3,Z11,M,1,C,CNR,0.936,4.8,4.8,9.6,24,24,48,22,3.865567664,3.019544675,4.224993148
4,Z11,M,1,N,CNR,1.278,4.6,4.6,9.2,23,23,46,54,6.280351879,4.131068199,5.558706408
5,Z13,M,2,C,CNR,6.943,6.6,6.75,13.35,33,27,60,21,12.28908124,9.931094281,3.83740872
6,Z13,M,2,N,CNR,10.807,5.8,7,12.8,29,21,50,10,7.773232249,6.542198846,2.931706359
7,Z18,M,2,C,NRC,1.94,4.6,3.4,8,23,23,46,18,11.60261757,10.51889126,3.43668516
8,Z23,F,1,C,CNR,4.112,2.8,4,6.8,14,20,34,33,13.86589714,10.75825987,2.600154621
9,Z23,F,1,N,CNR,8.227,2.2,3,5.2,11,15,26,13,3.618967719,2.009293243,5.28871079
10,Z26,M,2,C,CNR,0.936,3.25,5.6,8.85,13,28,41,48,18.3001626,12.20897874,4.590593724
11,Z26,M,2,N,CNR,3.194,5,3.8,8.8,20,19,39,27,16.98975882,13.53312391,5.844214183
12,Z28,M,1,C,NRC,6.409,1.2,3.6,4.8,9,17,26,85,31.61485533,16.23696211,5.322908031
13,Z28,M,1,N,NRC,0.936,1.5,3.4,4.9,11,12,23,53,17.09208026,11.6598781,2.693941948
14,Z29,F,1,C,NRC,1.027,1.4,5.6,7,11,28,39,17,10.09481457,8.919138384,5.02084414
15,Z29,F,1,N,NRC,0.936,1.83,5.6,7.43,11,18,29,45,9.357331483,4.598551769,3.300248679
16,Z36,F,1,C,CNR,3.38,3.8,3.8,7.6,19,19,38,17,14.19330461,12.73879332,6.24711079
17,Z36,F,1,N,CNR,3.862,2,4.4,6.4,10,22,32,33,14.72668135,11.65422813,4.070736558
18,Z39,F,2,N,NRC,7.048,2.83,4,6.83,15,12,27,32,18.04064809,14.94291703,1.410982938
19,Z4,F,1,C,CNR,4.336,3.4,5,8.4,17,25,42,33,6.217813065,3.971102281,3.996781743
20,Z4,F,1,N,CNR,9.899,2.8,3,5.8,14,15,29,43,4.264662881,1.905935857,3.379341595
21,Z43,M,1,C,NRC,0.901,2.5,4.33,6.83,5,27,32,72,6.486052479,2.549892457,5.238473777
22,Z43,M,1,N,NRC,0.988,1,6.75,7.75,11,21,32,16,11.22281646,8.12913473,2.475071915
23,Z44,M,1,C,CNR,0.936,3.2,4.4,7.6,16,22,38,48,30.09256048,25.40705848,4.563049058
24,Z44,M,1,N,CNR,1.423,3.2,4,7.2,16,16,32,38,13.90224337,10.88790072,5.227993436
25,Z45,M,1,C,CNR,15.552,2,3.2,5.2,10,16,26,24,12.29755421,10.80479205,3.942164989
26,Z45,M,1,N,CNR,5.823,3.2,2.2,5.4,16,11,27,26,8.431407521,4.133880118,5.12277506
27,Z46,F,2,C,NRC,1.066,1.4,4.8,6.2,7,26,33,43,4.527986375,2.038615127,6.096728122
28,Z46,F,2,N,NRC,1.141,1.17,5.2,6.37,9,11,20,27,17.73826465,14.80313633,3.406919237
29,Z5,M,1,C,NRC,11.539,2.8,5,7.8,12,33,45,51,29.13246972,22.82220485,6.359497229
30,Z5,M,1,N,NRC,4.727,2,6.6,8.6,22,23,45,29,16.75502967,14.13703389,3.414129824
31,Z6,M,2,C,CNR,7.895,3.8,3,6.8,19,12,31,29,12.55225321,10.96935061,3.419133427
32,Z6,M,2,N,CNR,9.284,3.6,4.2,7.8,18,21,39,28,17.76222893,13.46826106,4.69476746