	EX-CTR	Z1-A	Z1-C	Z1-N	Z1-R	Z11-C	Z11-N	Z11-R	Z13-A	Z13-C	Z13-N	Z18-A	Z18-C	Z18-R	Z23-C	Z23-N	Z23-R	Z26-C	Z26-N	Z26-R	Z28-A	Z28-C	Z28-N	Z28-R	Z29-A	Z29-C	Z29-N	Z29-R	Z32-A	Z32-C	Z32-N	Z32-R	Z36-A	Z36-C	Z36-N	Z36-R	Z39-A	Z39-N	Z39-R	Z4-A	Z4-C	Z4-N	Z4-R	Z40-A	Z40-C	Z40-N	Z40-R	Z43-C	Z43-N	Z43-R	Z44-A	Z44-C	Z44-N	Z45-A	Z45-C	Z45-N	Z45-R	Z46-C	Z46-N	Z46-R	Z5-A	Z5-C	Z5-N	Z5-R	Z6-A	Z6-C	Z6-N	Z6-R
EX-CTR	0.0	0.956757808414199	0.7754286819981234	1.2496876715534841	0.8834909670889968	0.37500727040945514	0.3765393003914883	0.4525707874094518	1.0730322366983207	0.8278459853137131	1.0774506518404157	1.229339624230395	1.1651724016388136	1.3292851182482153	0.6192681574198521	0.6972650924442304	1.1960169672917458	0.853970811387492	0.5691570990041861	1.0755788580294563	0.7865965529941724	0.986368008036673	1.4147835920589582	1.3024725602501024	0.3455541216459574	0.33623749184458335	0.7315132154829949	0.25472719361586377	0.39108671869310285	0.857871932223074	0.5018072510642392	1.0719686014613765	0.32816612251252525	1.1643594207524774	0.9832154414650728	0.3188369819619764	0.32925004498497185	0.36332532927636135	0.7653064169612663	0.4891898361283589	0.33116253844984217	0.47571084648258727	0.3775611805530175	0.8817820412004674	0.3143741236408419	0.63959533689996	0.2867408756864754	0.4935812697194525	1.013856164361478	1.0805027886946241	1.099358429449999	0.7576350432374325	1.0839250007467933	0.31453652358464457	1.0416334673126562	0.5302508333315351	0.50661195711545	0.35568641080143537	1.304229995574362	0.5444702631715805	1.1184593149048359	0.555507769487667	0.9646117077050046	1.397592543528423	0.9603806493386842	1.1338006870800026	0.5777700311188398	1.1346119144801754
Z1-A	0.956757808414199	0.0	0.26539343114493674	0.4266993814078248	0.2125026029086123	0.9786202603565719	0.9377306492795886	0.7037580880058797	0.26315479864197844	0.2628325752658623	0.2877759715538656	0.3884905237412405	0.3434204197836864	0.4714783433290423	0.630761003675288	0.38223260684340554	0.3590384985123351	0.16450640097708075	0.5061203811989411	0.23309527407718125	0.2776030508460988	0.16301214049902482	0.5749003492167055	0.43888568815120493	0.9396407706844185	0.9680259976560172	0.35090313267937673	0.9203202046944537	0.8472471273065726	0.3429160804493856	0.60077520045911	0.24147998012923405	0.9614064403239462	0.32434652863763225	0.16222456610469657	0.9542334572454315	0.8786317212099034	1.000181237543888	0.28384178236524515	0.7333948328576025	0.7842857641974953	0.7166526349294412	0.7936361528706034	0.1932683994482979	0.9661079340789634	0.5364617270578996	0.9258320506332933	0.8009058261041131	0.18803121469443534	0.25328336779224336	0.3214800534440308	0.30399610907800045	0.2549907583378291	0.8840848001667221	0.24975153546914022	0.6862568310630855	0.6199347247220662	0.9749390733039375	0.4659196908231755	0.5607512329237978	0.2816056245867164	0.5307090185782947	0.14528051923178834	0.5310519184460759	0.1475781667775421	0.28914124554996773	0.4903938699850124	0.2828539674694569
Z1-C	0.7754286819981234	0.26539343114493674	0.0	0.5607761464613638	0.2083671576610443	0.7813406234341786	0.7476199225459175	0.5645029985212913	0.4033415775679532	0.17797097332485734	0.4239133560108106	0.5091003863799161	0.47609649537447185	0.6364270712557927	0.500803100859441	0.19634745895226713	0.4847927082966696	0.17290742690148772	0.3837206330075531	0.38367589453102346	0.15522112699098303	0.26112429728138675	0.6863885525258824	0.5982979575404047	0.7843248256243622	0.8275009756785584	0.19972171104694728	0.7252710056906412	0.7165975497783948	0.26173586169900537	0.43437754364396974	0.3827346327881352	0.7584053458251047	0.4476170858123346	0.2775111126866231	0.7483520491315173	0.6955567743263662	0.7852674577561165	0.15780179042321335	0.6080493696221579	0.5724327458929019	0.5611186829704982	0.6166963097092865	0.21575089282635637	0.833662257651336	0.414538440116618	0.7698118206684346	0.6771872725350717	0.28131140430442086	0.3971675373064124	0.4019035876104635	0.1877967868160046	0.3714964697868663	0.7354776036361594	0.378884263539081	0.5469359652935449	0.4615572072057057	0.8464008464104329	0.5876869837607598	0.36416501723046635	0.41248625355906904	0.3816529547641813	0.23865914209792446	0.6789630120294027	0.2572331671891351	0.42073590605522004	0.3506525313619452	0.4311551219021057
Z1-N	1.2496876715534841	0.4266993814078248	0.5607761464613638	0.0	0.5024670058714753	1.2453923901065922	1.204567498951505	1.0035524819219181	0.245192398458815	0.5384432631650582	0.2818915986145098	0.1079795688880265	0.18753178866766146	0.14964451432365058	0.8947111248197392	0.6636519860464216	0.10487668535228006	0.48488949433363426	0.8372859048764473	0.3039043928487946	0.5644549742788963	0.36818658666989124	0.2225117894216531	0.10648613030284294	1.2318523118459614	1.2455625905224448	0.6637897464193259	1.2410909246248436	1.1443204898380974	0.6145706373898923	0.9018264673111799	0.3674262420468799	1.2252240864801927	0.1596657487879483	0.3771849190531482	1.2206788442060799	1.145941131023818	1.250138691229508	0.6099328539019756	1.0279304727290834	1.0936593626207025	1.009474767164011	1.1028572722999994	0.4852460674461879	1.2581121774393909	0.7886521402242275	1.2322416194433643	1.0678547920737675	0.3893753950243827	0.23276601005269573	0.2738122005615292	0.6020234064533287	0.2490688522021241	1.184956487933012	0.2923540649623151	0.9568554600153085	0.9165979710464731	1.239547344984598	0.10945807348202606	0.8600206870905414	0.18660610849759926	0.8172361644667443	0.3703510734082469	0.19188601269393601	0.3611952046841552	0.23724404533916743	0.8321255492539967	0.17797249090415385
Z1-R	0.8834909670889968	0.2125026029086123	0.2083671576610443	0.5024670058714753	0.0	0.9001896068642976	0.8591290020479961	0.6295644677446325	0.32417534038367185	0.16684833466598029	0.34385509035982786	0.4588507570429172	0.42500003399917247	0.5590304820450401	0.532620639989565	0.3235812146014733	0.4494071759026063	0.14023982231243734	0.42413864781317795	0.34263846067971765	0.18282264197559295	0.25933837610441596	0.6562540018567679	0.523786410320445	0.8421554819910727	0.7871434241026579	0.2843043943052994	0.8055365024484159	0.7284013209193643	0.24153880288620377	0.4861106694465544	0.3281142764923062	0.8634399715089157	0.3900268086015715	0.21862451264751365	0.8641858202558284	0.8161366825313507	0.9093380419559214	0.2290967545376549	0.626128703466659	0.6937087330732357	0.6515500216185232	0.7276594290919244	0.1387967294591862	0.8846115754449646	0.42853490332890215	0.882343318152819	0.6826021409056662	0.2813016196105832	0.33893945068487086	0.402591324833189	0.23172065519899887	0.36734142097022776	0.7910084207688219	0.3062957647140446	0.5755133357627088	0.5229125127579242	0.8365120367086157	0.5492355537266566	0.43941202923529665	0.3821533605741767	0.45819844066969023	0.22956857106946318	0.6144743183836601	0.24886844517244164	0.3888740787005014	0.4289538049330424	0.3898799253955794
Z11-C	0.37500727040945514	0.9786202603565719	0.7813406234341786	1.2453923901065922	0.9001896068642976	0.0	0.08246977352622246	0.342018518400169	1.0942993765593356	0.8566078726477904	1.1026073260996982	1.2096986747435488	1.1601690772553828	1.3255080891295832	0.6674002766978199	0.647234729017696	1.194657336520498	0.9074538474224323	0.6613470519221625	1.1052108431879935	0.8423127753292021	0.9982734857047245	1.3774602173286568	1.2863508621467326	0.31129804501475145	0.3091509548746989	0.722407289927677	0.27616703119867153	0.33398542192862896	0.908163186538432	0.5315773454088096	1.0933130040995904	0.1083914213342522	1.1320973411580024	0.9771560477781027	0.16551885752384035	0.4102894099665363	0.0836621107855848	0.7755720253954017	0.5380499161352923	0.34105622952903475	0.4959250657363366	0.2986674257688322	0.8837497633124225	0.3902554124730981	0.7050862508804283	0.3986748560799581	0.5338779754627497	0.8806117594530551	1.114270471442946	1.055244132796653	0.8087029468374213	1.0903422204556064	0.3853178739816886	1.0658051211850021	0.5822150335565163	0.6040253047043873	0.3994632050008137	1.2732513735069106	0.5156763420821128	1.1059534192534843	0.6506926403699271	0.9461993035095284	1.3623669244011491	0.9646985018518273	1.0941771720835292	0.5967723400689479	1.1550343778397836
Z11-N	0.3765393003914883	0.9377306492795886	0.7476199225459175	1.204567498951505	0.8591290020479961	0.08246977352622246	0.0	0.2927608632075468	1.0594946424623675	0.8261923772054006	1.0723821864456433	1.1738724427023897	1.1285896164565261	1.286228488431525	0.6333736250406519	0.6075139894301133	1.1550786585031756	0.871995127141849	0.6198221704956308	1.0755882915579815	0.808466524838065	0.9622938646066682	1.3449492384538142	1.2463097396793987	0.29155534175423375	0.31567079857507707	0.6881780770818156	0.2908946589493864	0.3008797959872564	0.8692157913596466	0.4943644688407031	1.0576085497880068	0.1540839896958031	1.0913615277061501	0.9364419720972821	0.19187572458004465	0.3698509138235542	0.16341363218506755	0.7393511783654244	0.5130133367441991	0.3214259124480435	0.45925636445145496	0.262810898921426	0.8476768054552407	0.39459980125662864	0.6692363475892523	0.38191888176879957	0.49283492298291565	0.8521784838075593	1.0781376798070925	1.0308891470629489	0.7729789888052374	1.0492940203032097	0.34919150401672167	1.0308382742290438	0.5461977766020375	0.5676977517594518	0.3862273726581022	1.2393177157426334	0.4800362262048273	1.0696957251814434	0.6143741652082435	0.9120260600160084	1.3234930468853523	0.9287211137306816	1.060006297723782	0.5657559550214605	1.114545347995779
Z11-R	0.4525707874094518	0.7037580880058797	0.5645029985212913	1.0035524819219181	0.6295644677446325	0.342018518400169	0.2927608632075468	0.0	0.8309800297766392	0.6219823283037424	0.8535982151628152	0.976146334207036	0.9147431095423092	1.0836496121634271	0.42261861905558523	0.41804866062446966	0.9395339499971386	0.625796057284097	0.37436880305875947	0.8364740821234514	0.5787283394001187	0.7571133969151176	1.1586909398776726	1.044055791782441	0.40918465047600866	0.4351161572270408	0.47667594572694205	0.41340746454845473	0.27581701960956445	0.6343008216877477	0.28018836362488514	0.8155410129006576	0.37927919822709766	0.9082898498763887	0.7311490230726698	0.3786310865913723	0.38918181222421017	0.4225478440865033	0.5027411804877312	0.2644033441756196	0.26192977307611726	0.2593753186844226	0.20789654459528228	0.6260596513429215	0.4880677392059998	0.43354336005860283	0.4481526562984856	0.31348691685504604	0.6927673132798091	0.8366064799199752	0.8682728605138782	0.5574243595960972	0.8502863531259097	0.39662012214896786	0.8152636816976757	0.3152798059669195	0.31610253730284027	0.47989038025977526	1.0475544013235725	0.28188009818977294	0.8534049043508534	0.37493423877522153	0.7258247287920147	1.1397008386391723	0.706609390181594	0.868687381729652	0.34527493920455266	0.886057438926905
Z13-A	1.0730322366983207	0.26315479864197844	0.4033415775679532	0.245192398458815	0.32417534038367185	1.0942993765593356	1.0594946424623675	0.8309800297766392	0.0	0.3133841622565895	0.05942875023871697	0.21936574943556894	0.16104204284290186	0.31320348226681854	0.692679691593346	0.5372910774775793	0.17888978416154072	0.2750325521051344	0.6267540477649716	0.14595503080350075	0.3566854153185908	0.2193406839504272	0.383119372039022	0.2753303410080955	1.0568119054669527	1.031040782050627	0.4757477523533573	1.0404845192392378	0.9494264511884152	0.4155271530721726	0.7008926082005802	0.1989376700358396	1.0610589151857555	0.1666382926843172	0.22931397854601163	1.065074558168693	1.0358564056504926	1.1032344654275639	0.44140563083888307	0.8076748524933123	0.8721127620129805	0.857330337729888	0.9362618794129376	0.26437932509366413	1.029723923702882	0.5862977398108046	1.0763065908439018	0.8491371775300948	0.2387374054239617	0.06385263581651139	0.139877016241838	0.39925133635327964	0.10874578431913212	0.9627894716380885	0.06777888380026142	0.7369687469819223	0.7442412700048238	1.0292097879845903	0.27733969241938566	0.6931483660483153	0.12189938313892201	0.6457580997630372	0.2201910632373005	0.36686513342944016	0.19473137481025915	0.12238459999975121	0.6018940635975375	0.1345739697467002
Z13-C	0.8278459853137131	0.2628325752658623	0.17797097332485734	0.5384432631650582	0.16684833466598029	0.8566078726477904	0.8261923772054006	0.6219823283037424	0.3133841622565895	0.0	0.2900720136001406	0.5135619837714472	0.43939970758604785	0.603688923216777	0.43142712528710064	0.31313843845940076	0.4769495456370792	0.16484923270892918	0.4098822973784145	0.38141026058707156	0.11193595728982696	0.2976063410648417	0.6822627511967699	0.5702566450768001	0.8476037819905288	0.8327726462380495	0.256148305635922	0.8126006414583754	0.7324353633209574	0.16982834220456353	0.46165193266892807	0.3559305293134012	0.8270904399493164	0.4382652996575385	0.2804727111054982	0.8412995741183643	0.8157263853187354	0.8636619714938639	0.23174241507807086	0.5634189641597097	0.6452221288400458	0.6653247891910573	0.7146990730994365	0.12978619183277504	0.7800187781333165	0.33619575904216126	0.8640654182627827	0.6114809302889914	0.27947155648483984	0.3621740310588302	0.4005870645381972	0.15185290668196907	0.4010996665021724	0.696196777194157	0.2726824816721152	0.4788308561386165	0.541155147607929	0.7864932387178462	0.5770999176452337	0.4702674634836019	0.4120189275852946	0.41588346121523473	0.2705248952325671	0.6608306734288902	0.27089641169277756	0.4080015935440094	0.3434400226051263	0.4350098724348028
Z13-N	1.0774506518404157	0.2877759715538656	0.4239133560108106	0.2818915986145098	0.34385509035982786	1.1026073260996982	1.0723821864456433	0.8535982151628152	0.05942875023871697	0.2900720136001406	0.0	0.25651275376580596	0.18510640411270832	0.3449657556206664	0.6705255447424121	0.5609947455978113	0.22230851575173108	0.3013810996639822	0.6342263160463801	0.16333286830504015	0.3551783731601937	0.2355511862768441	0.41523006653534983	0.30906030553761993	1.0795264273429515	1.0502834722151162	0.4944120148510422	1.0577489470537234	0.966780268535839	0.38257957436074097	0.7170870831599296	0.21121315176851332	1.0732309943893903	0.2008826620876629	0.2494829666321866	1.0891706722376242	1.05338282600344	1.109739850760215	0.46784724853396825	0.7895660462984944	0.8902044968037575	0.8785437602467816	0.9584474523408322	0.2788561364470302	1.0063037034321043	0.5548967288911489	1.0996465343849056	0.816501115898898	0.25042930184633166	0.10664604702356949	0.17026005308929726	0.40305815834775777	0.15420317782982354	0.9409608094235403	0.05535782582381306	0.7067496568905327	0.7641269900295397	1.0000956278151858	0.32118079584291315	0.7166419622499992	0.16535812240327513	0.6662896990657464	0.24691835587880573	0.39907349702053957	0.22315801491953638	0.16133003396707352	0.5957371804778501	0.17606202263554543
Z18-A	1.229339624230395	0.3884905237412405	0.5091003863799161	0.1079795688880265	0.4588507570429172	1.2096986747435488	1.1738724427023897	0.976146334207036	0.21936574943556894	0.5135619837714472	0.25651275376580596	0.0	0.1527262301009904	0.19142908298483013	0.8578231493351939	0.6432004784772756	0.06691604596180582	0.435726775621687	0.8004246051768442	0.28140973603638336	0.5307843300851163	0.3232777575901477	0.23843539082514495	0.155241237424049	1.1837711143876626	1.1896206157197327	0.6184047498354025	1.1810421218367226	1.096212683636554	0.6192486440520205	0.8408769099826722	0.3240567108893746	1.19139420159319	0.13039552996823287	0.3167953083044117	1.1807959995791735	1.138731785604784	1.2135979196436641	0.5472329376301234	0.9740006277041718	1.0464644521645292	0.9834580837756217	1.0528247600347866	0.45211445817856244	1.2210432805066749	0.7743215036247567	1.214300727854998	1.0295514777894965	0.35522202551300985	0.1973033508269998	0.24368868046148276	0.5711410968531848	0.21129072969356244	1.1413214601962192	0.2670231211782111	0.9190201332770891	0.876941464482405	1.1957141435937249	0.1332595984572881	0.7935867562137905	0.14439066570326808	0.795376725082668	0.30356673290843617	0.23646699228130114	0.3202277090589157	0.1997784392547648	0.7832190019178723	0.15523224876551128
Z18-C	1.1651724016388136	0.3434204197836864	0.47609649537447185	0.18753178866766146	0.42500003399917247	1.1601690772553828	1.1285896164565261	0.9147431095423092	0.16104204284290186	0.43939970758604785	0.18510640411270832	0.1527262301009904	0.0	0.25112616930619586	0.7909575513203967	0.6123783136426351	0.12932160711423826	0.37962691795284986	0.7637845740199456	0.22956303102053227	0.44930100532660466	0.28733542513579513	0.32379926978068957	0.21825854007560525	1.1398447036906074	1.1532885513425881	0.5701641893869651	1.155040671328763	1.055899563252179	0.54942760194433	0.7959147126626718	0.27132665003924306	1.1336008629464183	0.09711265469043474	0.30829834525079314	1.13084753792118	1.104928767314048	1.1673390381109423	0.5157988919935503	0.9384600127335759	0.9997111532339075	0.9390581698027198	1.0084058632051318	0.3890769195513357	1.165066600499398	0.7186545748650053	1.1549873568408702	0.9781639218837591	0.3066734739615515	0.1514284694128942	0.19498447385849993	0.49410707259052467	0.18411806053318033	1.0864132127481883	0.20121405073137424	0.8591784292779876	0.8408038348796494	1.1523540689646947	0.22402919988917688	0.7681379941884705	0.10881889228965984	0.7069977989542425	0.2968210004224847	0.3105763554352351	0.2717146705607713	0.11595859068665676	0.7283035260613203	0.11428523825317305
Z18-R	1.3292851182482153	0.4714783433290423	0.6364270712557927	0.14964451432365058	0.5590304820450401	1.3255080891295832	1.286228488431525	1.0836496121634271	0.31320348226681854	0.603688923216777	0.3449657556206664	0.19142908298483013	0.25112616930619586	0.0	0.9426672711249195	0.7530441212655149	0.1646917547605414	0.5470743038180088	0.8916909506268437	0.3721447228212934	0.62356314085749	0.4399017083386851	0.2208583911233931	0.07670957000024979	1.2896129269872532	1.314866862294858	0.7272070636281464	1.3143793490284719	1.2227312819417606	0.6202117689222141	0.9736433332846088	0.4267790543261696	1.2955819754281388	0.23443478456881103	0.45843199290398057	1.2956550425048006	1.251429101281372	1.3307605141055074	0.6841304402360984	1.1037256931981576	1.1627749008145558	1.0705706233344854	1.179021067554969	0.558414989367938	1.3232792609363941	0.8791090730553871	1.3144250616392006	1.129608454711145	0.46975725548557956	0.30913333955038286	0.3575963888530358	0.6719434201517156	0.3388040852417156	1.2582176953268895	0.35847335463648433	1.0334059808482463	1.0042119767353321	1.3141812929517063	0.13312954995808673	0.9293779941921039	0.2754979533159479	0.9102787266703778	0.4549982849906134	0.16038732226746666	0.43332923193331135	0.3080305882459779	0.8915478508626923	0.25069869774317166
Z23-C	0.6192681574198521	0.630761003675288	0.500803100859441	0.8947111248197392	0.532620639989565	0.6674002766978199	0.6333736250406519	0.42261861905558523	0.692679691593346	0.43142712528710064	0.6705255447424121	0.8578231493351939	0.7909575513203967	0.9426672711249195	0.0	0.4098300554442456	0.828717335622145	0.5378201040902933	0.27036622859508036	0.736514812008237	0.4182152815528811	0.6409724642434758	1.016707811271956	0.9144842344502135	0.6408097253396212	0.621623336287609	0.4078822592911049	0.6360437554940551	0.5400919461625545	0.45153274011193634	0.2742051798173975	0.7070396243745609	0.6370500599557684	0.8125972534066674	0.6511031832676928	0.6424949994548664	0.6138550896484783	0.6729200287220939	0.45995543580001247	0.32752389340988775	0.46709839603734726	0.43915097646544016	0.5217865757887183	0.5223905173833486	0.4783312802176387	0.22371123795910458	0.6580859961560633	0.292640523170169	0.6710563245861954	0.7330143980906856	0.7874588691974024	0.39913358998030013	0.761439647230003	0.46727117160319104	0.6568584033380901	0.22921211022960084	0.333127135543595	0.47619038740985853	0.9276731943409677	0.27548318377745934	0.7762188535762334	0.28277598521622127	0.6487856375977865	1.005666064473342	0.6471292967046902	0.7646935878658224	0.24679903827938887	0.7869809900979087
Z23-N	0.6972650924442304	0.38223260684340554	0.19634745895226713	0.6636519860464216	0.3235812146014733	0.647234729017696	0.6075139894301133	0.41804866062446966	0.5372910774775793	0.31313843845940076	0.5609947455978113	0.6432004784772756	0.6123783136426351	0.7530441212655149	0.4098300554442456	0.0	0.6168900101719427	0.3241486842209769	0.29432479272008377	0.519354033191136	0.2899635533831048	0.4103765501765458	0.8220135974359394	0.7199284456441992	0.6783828295650179	0.7239136374173187	0.15269266972275902	0.6433444247463606	0.5835916073767575	0.3298500343246612	0.3352083128616481	0.5123888244729161	0.6498808828322701	0.5674157726478739	0.40878297213993253	0.6370308647983498	0.5895010167327732	0.6720041811382587	0.19201383516420853	0.5074890833143074	0.48805579866990784	0.479166680933309	0.49765837598764545	0.33581765417119436	0.748889905716372	0.31107870212132865	0.6960781196872697	0.5793761401516514	0.3724910377127071	0.5351073027802986	0.5228247118376969	0.25106492742674513	0.5016612577778784	0.6488257128240321	0.5155043594299737	0.4610195932944807	0.3870245908403501	0.7481749814697978	0.7136439743167579	0.2540062754227173	0.5322217726164425	0.2770034288865111	0.3679090101804179	0.7987703797093131	0.390504232632405	0.5392462953079055	0.24069315999814514	0.5555094663508057
