"","index","Unassigned.__","d__Bacteria.__","d__Bacteria.p__Acidobacteriota","d__Bacteria.p__Actinobacteriota","d__Bacteria.p__Bacteroidota","d__Bacteria.p__Bdellovibrionota","d__Bacteria.p__Campilobacterota","d__Bacteria.p__Chloroflexi","d__Bacteria.p__Cyanobacteria","d__Bacteria.p__Deinococcota","d__Bacteria.p__Elusimicrobiota","d__Bacteria.p__Fibrobacterota","d__Bacteria.p__Firmicutes","d__Bacteria.p__Fusobacteriota","d__Bacteria.p__Latescibacterota","d__Bacteria.p__Myxococcota","d__Bacteria.p__Patescibacteria","d__Bacteria.p__Planctomycetota","d__Bacteria.p__Proteobacteria","d__Bacteria.p__Spirochaetota","d__Bacteria.p__Verrucomicrobiota","d__Bacteria.p__Zixibacteria","d__Eukaryota.__","d__Eukaryota.p__Basidiomycota"
"1","Z1-A",0.104808457428669,0.483687620779811,0,0.103558031146982,0.000909400932135955,0,0.00341025349550983,0,0.00625213140843469,0,0,0,0.142434920995794,0,0,0,0,0,0.148687052404229,0,0,0,0,0.00625213140843469
"2","Z1-C",0,0.450409944459138,0,0.0215551441417614,0.00185136207352552,0,0,0,0,0,0,0,0.258000528960592,0,0,0,0,0,0.256942607775721,0,0,0.0112404125892621,0,0
"3","Z1-N",0.0567657124232712,0.74974197403444,0,0.0191210820794177,0.0366125264816123,0,0,0,0,0,0,0,0.0681731761638329,0,0,0,0,0,0.0695855288174263,0,0,0,0,0
"4","Z1-R",0.0362301001148859,0.485639258165108,0,0.136427047431479,0.00246184145741014,0,0,0,0,0,0,0,0.0789840800919087,0,0,0,0,0,0.259231905465288,0,0,0,0,0.00102576727392089
"5","Z11-A",0,0.645569620253165,0,0.027124773960217,0.0433996383363472,0,0,0,0,0,0,0,0.0198915009041591,0,0,0,0,0,0.264014466546112,0,0,0,0,0
"6","Z11-C",0.00267418858524434,0.00606271521723203,0,0.00305883214887538,0,0,0,0,0,0,0,0,0.000439592644149755,0,0,0,0,0,0.987764671404499,0,0,0,0,0
"7","Z11-N",0.00610548194336191,0.0212782540919719,0,0.00540400103923097,0.000519615484541439,0.000519615484541439,0,0,0.00025980774227072,0,0,0,0.0110418290465056,0,0,0,0.000103923096908288,0,0.954767472070668,0,0,0,0,0
"8","Z11-R",0.0108721913505678,0.150851654989128,0,0.0939538535878231,0.0170330997825562,0,0,0,0.000634211162116453,0,0,0,0.0990275428847548,0.00380526697269872,0,0,0,0,0.620711524522832,0,0.00311065474752356,0,0,0
"9","Z13-A",0.0573269531435069,0.627706448097787,0,0.201070734827308,0.00535367413654238,0,0,0,0,0,0,0,0.0428767707395651,0,0,0,0,0,0.0629175155161795,0,0.00274790353911025,0,0,0
"10","Z13-C",0.0402222222222222,0.47237037037037,0,0.331555555555556,0.0102222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14562962962963,0,0,0,0,0
"11","Z13-N",0,0.68625447112928,0,0.290240163515585,0.00766479305058763,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158405723045478,0,0,0,0,0
"12","Z18-A",0.02666442124172,0.746828337262827,0,0.0140900415403615,0,0,0,0,0,0,0,0,0.0747165151004828,0,0,0,0,0,0.137307735488941,0,0,0,0,0.000392949365667453
"13","Z18-C",0.0144605864944848,0.747511433952112,0,0.0665186978746301,0,0,0,0,0,0,0,0,0.0817191283292978,0,0,0,0,0,0.0897901533494754,0,0,0,0,0
"14","Z18-R",0.0799923084318816,0.801076819536583,0,0.0622055571579656,0,0,0,0,0,0,0,0,0.0388424189981733,0,0,0,0,0,0.0178828958753966,0,0,0,0,0
"15","Z23-C",0.0243839835728953,0.239989733059548,0,0.700718685831622,0,0,0,0,0,0,0,0,0.0341375770020534,0,0,0,0.000770020533880904,0,0,0,0,0,0,0
"16","Z23-N",0.0219735913718375,0.370728757181736,0,0.00892047172664046,0.0245942949299466,0,0,0,0,0,0.00609817558713839,0,0.212176191916137,0,0,0,0,0,0.355508517286564,0,0,0,0,0
"17","Z23-R",0.0312369070341232,0.75252548764024,0,0.0688515432242447,0,0,0,0,0,0,0,0,0.10586099343606,0,0,0,0,0,0.0413854103626461,0,0,0,0,0.000139658302686095
"18","Z26-C",0.0747739392534199,0.449686992812428,0,0.125086946440992,0,0,0,0,0,0,0,0,0.181776025968004,0,0,0,0,0,0.168676095525156,0,0,0,0,0
"19","Z26-N",0.0189524631013993,0.269168104274487,0,0.243243243243243,0.0111893808702319,0,0,0,0,0,0.000143760782058654,0.00258769407705578,0.279686601495112,0,0,0.000575043128234618,0.00225225225225225,0,0.172033735863523,0,0.000167720912401763,0,0,0
"20","Z26-R",0.0320422535211268,0.654929577464789,0,0.0936619718309859,0.00316901408450704,0,0,0,0,0,0,0,0.161619718309859,0,0,0,0,0,0.0545774647887324,0,0,0,0,0
"21","Z28-A",0.0195947450456468,0.437274549098196,0,0.278378980182587,0,0,0,0,0.00641282565130261,0,0,0,0.0932531730126921,0,0,0,0,0,0.165085727009575,0,0,0,0,0
"22","Z28-C",0.0209736787276894,0.587193555107994,0,0.0325022571011876,0.00027779706924092,0,0,0,0,0,0,0,0.298492950899368,0,0,0,0,0,0.0605597610945205,0,0,0,0,0
"23","Z28-N",0.067563930013459,0.857469717362046,0,0,0,0,0,0,0,0,0,0,0.0713324360699865,0,0,0,0,0,0,0,0.00363391655450875,0,0,0
"24","Z28-R",0.0605722967839959,0.788148898455305,0,0.0488731324385921,0.000759685996454799,0,0,0,0,0,0,0,0.0625474803747784,0,0,0,0,0,0.0390985059508736,0,0,0,0,0
"25","Z29-A",0,0.0158839490711751,0,0.0867251095804634,0.00709663953245669,0,0,0,0,0,0,0,0.110310999791275,0.0317887706115633,0,0,8.34898768524316e-05,0,0.748111041536214,0,0,0,0,0
"26","Z29-C",0.0015043626516899,0.00431250626817772,0,0.194764817972119,0.000702035904121954,0,0,0.00722094072811152,0,0,0,0,0.0445291344900211,0,0,0,0,0,0.746966201985759,0,0,0,0,0
"27","Z29-N",0,0.542304230423042,0,0.0661566156615662,0,0,0,0,0,0,0,0,0.167304230423042,0,0,0,0,0,0.224234923492349,0,0,0,0,0
"28","Z29-R",0.0012620950778292,0.00673117374842238,0.0100967606226336,0.174589819099706,0.00462768195204039,0,0,0,0,0,0,0,0.337189734960034,0,0,0,0,0,0.465502734539335,0,0,0,0,0
"29","Z32-A",0.00786862812179268,0.0826205952788231,0,0.15782871479074,0.014596875356369,0,0,0,0,0,0,0,0.0321587410195005,0,0,0,0,0,0.704926445432774,0,0,0,0,0
"30","Z32-C",0.058922985882154,0.414278468171443,0,0.410093837179812,0.0440442979119114,0.00431143799137712,0,0,0,0,0,0,0.00820018598359963,0,0,0,0.000253613999492772,0,0.0598951728802097,0,0,0,0,0
"31","Z32-N",0.0395488501538011,0.189761242126849,0,0.197963966603193,0,0,0,0,0,0,0,0,0.117767687124652,0,0,0,0,0.0115717006005566,0.443020360333968,0,0,0,0,0.00036619305697964
"32","Z32-R",0.028936461462413,0.691927449712917,0,0.0976082740788623,0.00422069280200768,0,0,0,0,0,0,0,0.153275789953991,0,0,0,0,0,0.0240313319898095,0,0,0,0,0
"33","Z36-A",0.00437078856310326,0.00103199174406605,0,0.0617070357554787,0,0,0,0,0,0,0,0,0.0353608935834396,0,0,0,0,0,0.897529290353912,0,0,0,0,0
"34","Z36-C",0.0168457961734888,0.738166018751429,0,0.0196661330894123,0,0,0,0,0,0,0,0,0.0201234850217242,0,0,0,0,0,0.205046116319841,0,0,0,0,0.000152450644103971
"35","Z36-N",0.0171767979452055,0.586579623287671,0,0.0377782534246575,0,0,0,0,0,0,0,0,0.0641053082191781,0,0,0,0,0,0.288580907534247,0.0057791095890411,0,0,0,0
"36","Z36-R",0.00261376583338918,0.00737216004289257,0,0.0227196568594598,0,0,0,0,0,0,0,0,0.0651430869244689,0,0,0,0,0,0.90215133033979,0,0,0,0,0
"37","Z39-A",0.00276842995209124,0.0525338593902823,0.000314971072393614,0.0241698854499942,0.0607065298476535,0,0,0,0,0,0,0,0.542927241682277,0.00203902325812708,0,0,0.00865341577839298,0,0.293967475092419,0,0.0119191684763689,0,0,0
"38","Z39-N",0.00313035152006187,0,0,0,0.000313035152006187,0,0,0,0,0,0,0,0.00605815088294327,0,0,0,0,0,0.990498462444989,0,0,0,0,0
"39","Z39-R",0.0331747919143876,0.393400713436385,0.0564209274673008,0.0673008323424495,0.00612366230677765,0,0,0,0,0,0,0,0.117717003567182,0,0,0,0,0.000535077288941736,0.324732461355529,0,0,0,0,0.000594530321046373
"40","Z4-A",0.0138461538461538,0.151538461538462,0,0.482692307692308,0.0130769230769231,0,0,0,0,0,0,0,0.151923076923077,0,0,0,0.0115384615384615,0,0.175384615384615,0,0,0,0,0
"41","Z4-C",0.0132782331820337,0.0726576790190367,0,0.197784702933406,0,0,0,0,0,0,0,0,0.314985434591152,0,0,0,0.00125330262177359,0,0.400040647652598,0,0,0,0,0
"42","Z4-N",0.0226162086086243,0.136674615895852,0,0.0444700731068455,0,0,0,0,0,0,0,0,0.739669259939794,0,0,0,0,0,0.056296180460534,0,0,0,0.000273661988349818,0
"43","Z4-R",0,0.0871694417238002,0,0.0699314397649363,0.00754162585700294,0,0,0,0.0069539666993144,0,0,0,0.235063663075416,0,0,0,0,0,0.59333986287953,0,0,0,0,0
"44","Z40-A",0.012935226609609,0.490728133307398,0,0.217986124619075,0,0,0,0,0,0,0,0,0.101893276275692,0,0,0.000129676457239188,0,0,0.171464695584517,0,0.00466835246061078,0,0,0.000194514685858782
"45","Z40-C",0,0,0,0.815366110359344,0,0,0,0,0,0,0,0,0.116824537663509,0,0,0,0,0,0.0678093519771463,0,0,0,0,0
"46","Z40-N",0,0.327249683143219,0,0.462357414448669,0.0435149978876215,0,0,0,0,0,0,0,0.0451204055766793,0,0,0,0,0.0132657372201098,0.108491761723701,0,0,0,0,0
"47","Z40-R",0.00583749176160437,0.0129931268242162,0,0.126322066346546,0.0493048363305401,0,0.0182343156639362,0,0,0.000125537457238804,0,0,0.555911245017732,0.0632081097197376,0,0,0.00401719863164172,0,0.163575306782161,9.41530929291027e-05,0.000376612371716411,0,0,0
"48","Z43-C",0.0108233938899422,0.12378506803619,0,0.768028990376539,0.0024478629196765,0,0,0,0,0,0,0,0.0552689049413233,4.79973121505196e-05,0,0,0.000287983872903117,0,0.0393097986512755,0,0,0,0,0
"49","Z43-N",0.362582262613601,0.212785960513945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424631776872454,0,0,0,0,0
"50","Z43-R",0.0818086774699425,0.627722599756055,0,0.124237672068305,0.00400766684091305,0,0,0,0,0,0,0,0.100453040599408,0,0,0,0,0,0.0617703432653772,0,0,0,0,0
"51","Z44-A",0.081798084008843,0.610537951363301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307663964627856,0,0,0,0,0
"52","Z44-C",0.125302149343438,0.317959103678056,0,0.301234729208859,0.00124126216763572,0,0,0,0,0,0.000293983144966355,0,0.106944535179983,0,0,0,0,0,0.147024237277063,0,0,0,0,0
"53","Z44-N",0.0211474446837674,0.671235559036616,0,0.00939886430389661,0.000195809672997846,0,0,0,0,0,0,0,0.17094184452712,0,0,0,0,0,0.127080477775602,0,0,0,0,0
"54","Z45-A",0.00579297245963913,0.034821145932257,0,0.551630262741374,0,0,0,0,0.00237416904083571,0,0,0,0.234283000949668,0,0,0,0,0,0.171098448876227,0,0,0,0,0
"55","Z45-C",0.0136957289092834,0.649841157783269,0,0.243275679491705,0.0110836569008119,0,0,0,0,0,0,0,0.0242146134839393,0,0,0,0,0,0.0578891634309919,0,0,0,0,0
"56","Z45-N",0.00783817951959545,0.205562579013906,0,0.569237252423093,0,0,0,0,0,0,0,0,0.0192161820480405,0,0,0,0,0,0.198019384745048,0,0,0,0,0.000126422250316056
"57","Z45-R",0.00963517305893358,0.202089179918927,0,0.134331150608045,0.051356407857811,0,0,0,0.0106329903336452,0,0,0,0.414655441222326,0,0,0,0,0.000405363267851575,0.17577174929841,0,0.00112254443405051,0,0,0
"58","Z46-C",0.00136274907001584,0.0113071341755368,0,0.726013774814924,0.0106810062244485,0,0,0,0,0,0,0,0.108062318146661,0,0,0,0,0,0.142573017568414,0,0,0,0,0
"59","Z46-N",0.232554391619662,0.629331184528606,0,0.0056406124093473,0.00580177276390008,0,0,0,0,0,0,0,0.0488315874294923,0.00064464141821112,0,0,0,0,0.0771958098307816,0,0,0,0,0
"60","Z46-R",0.00903303509979353,0.253756595549438,0,0.0670165175498968,0,0,0,0,0,0,0,0,0.201680431291581,0,0,0,0,0,0.468513420509291,0,0,0,0,0
"61","Z5-A",0.0704186845805343,0.657748789251679,0,0.017223871270114,0.0114825808467427,0,0,0,0,0,0,0,0.0769801593501016,0,0,0.00578034682080925,0,0,0.158686142790189,0,0,0,0,0.00167942508982971
"62","Z5-C",0.00587622731329961,0.280348110681345,0.00371913121094912,0.172567688188039,0.0294183278786076,0,0,0,0,0,0,0,0.310175542993157,0,0,0,0,0.00662005355548944,0.191274918179113,0,0,0,0,0
"63","Z5-N",0.0378831280435405,0.566599828129476,0,0.00393869951303351,0,0,0,0,0,0,0,0,0.125250644514466,0,0,0,0,0,0.266327699799484,0,0,0,0,0
"64","Z5-R",0.255416498452429,0.655228098506258,0,0.0198268514780424,0,0,0,0,0,0,0,0,0.0427488449289014,0,0,0,0,0,0.0267797066343695,0,0,0,0,0
"65","Z6-A",0.0386611223753394,0.563558885185058,0,0.0514794322828963,0.000240558094779889,0,0,0,0.00343654421114128,0.00955359290697275,0,0,0.0971167394068525,0,0.00948486202274992,0,0.00202756108457335,0,0.222378775902952,0,0.00192446475823911,0,0,0.000137461768445651
"66","Z6-C",0.0233926369561388,0.678809230227233,0,0.0199401092126123,0,0,0,0,0,0,0,0,0.155539897833363,0,0,0,0,0,0.122318125770654,0,0,0,0,0
"67","Z6-N",0.0450434153400868,0.253527496382055,0,0.301193921852388,0,0,0,0,0,0,0,0,0.121743849493488,0,0,0,0,0,0.273878437047757,0,0,0,0,0.00461287988422576
"68","Z6-R",0.066017509380025,0.66651777738074,0,0.0621761658031088,0.013578702876541,0,0,0.000357334286224763,0,0,0,0,0.131677684473825,0,0,0,0,0.00929069144184384,0.0503841343576916,0,0,0,0,0
