Bird,day_group,treatment,sex,order,cort,AMaverage_food,PMaverage_food,averageFood_perDay,AMtotal_food,PMtotal_food,wholeDay_totalFood
Z1,2,A,M,CNR,0.936,3.38,3.5,6.88,27,28,55
Z1,2,C,M,CNR,3.547,3.4,6.6,10,17,33,50
Z1,2,N,M,CNR,3.415,5.4,4.6,10,27,23,50
Z1,2,R,M,CNR,1.238,3.5,5,8.5,21,25,46
Z11,1,A,M,CNR,0.936,4.22,3.25,7.47,38,26,64
Z11,1,C,M,CNR,0.936,4.8,4.8,9.6,24,24,48
Z11,1,N,M,CNR,1.278,4.6,4.6,9.2,23,23,46
Z11,1,R,M,CNR,0.936,3,4.2,7.2,15,21,36
Z13,2,A,M,CNR,7.193,3.25,5.25,8.5,26,42,68
Z13,2,C,M,CNR,6.943,6.6,6.75,13.35,33,27,60
Z13,2,N,M,CNR,10.807,5.8,7,12.8,29,21,50
Z18,2,A,M,NRC,0.936,2.25,3.13,5.38,18,25,43
Z18,2,C,M,NRC,1.94,4.6,3.4,8,23,23,46
Z18,2,R,M,NRC,3.374,4.6,2.67,7.27,23,17,40
Z23,1,C,F,CNR,4.112,2.8,4,6.8,14,20,34
Z23,1,N,F,CNR,8.227,2.2,3,5.2,11,15,26
Z23,1,R,F,CNR,7.973,0.67,3.6,4.27,4,18,22
Z26,2,C,M,CNR,0.936,3.25,5.6,8.85,13,28,41
Z26,2,N,M,CNR,3.194,5,3.8,8.8,20,19,39
Z26,2,R,M,CNR,0.936,2.4,4.6,7,12,23,35
Z28,1,A,M,NRC,0.936,1.75,2,3.75,14,16,30
Z28,1,C,M,NRC,6.409,1.2,3.6,4.8,9,17,26
Z28,1,N,M,NRC,0.936,1.5,3.4,4.9,11,12,23
Z28,1,R,M,NRC,3.474,2.2,2.4,4.6,6,18,24
Z29,1,A,F,NRC,0.936,2.38,4,6.38,19,32,51
Z29,1,C,F,NRC,1.027,1.4,5.6,7,11,28,39
Z29,1,N,F,NRC,0.936,1.83,5.6,7.43,11,18,29
Z29,1,R,F,NRC,0.936,2.2,3.6,5.8,7,28,35
Z32,2,A,M,CNR,8.404,1.43,3.63,2.6,10,29,39
Z32,2,C,M,CNR,11.145,2.17,4,3,13,20,33
Z32,2,N,M,CNR,61.271,2.8,3.67,3.125,14,11,25
Z32,2,R,M,CNR,35.914,2.4,2.2,2.3,12,11,23
Z36,1,A,F,CNR,0.936,3.67,4.5,8.17,33,36,69
Z36,1,C,F,CNR,3.38,3.8,3.8,7.6,19,19,38
Z36,1,N,F,CNR,3.862,2,4.4,6.4,10,22,32
Z36,1,R,F,CNR,0.936,4.2,3.8,8,21,19,40
Z39,2,A,F,NRC,0.803,2.63,4,6.63,21,32,53
Z39,2,N,F,NRC,7.048,2.83,4,6.83,15,12,27
Z39,2,R,F,NRC,3.593,3,2.4,5.4,5,19,24
Z4,1,A,F,CNR,5.149,3.88,4.25,8.13,31,34,65
Z4,1,C,F,CNR,4.336,3.4,5,8.4,17,25,42
Z4,1,N,F,CNR,9.899,2.8,3,5.8,14,15,29
Z4,1,R,F,CNR,0.936,1.8,6,7.8,9,30,39
Z40,1,A,M,NRC,0.936,1.13,2.25,1.69,9,18,27
Z40,1,C,M,NRC,7.085,0.83,4.6,2.55,5,23,28
Z40,1,N,M,NRC,,2.2,3.2,2.7,11,16,27
Z40,1,R,M,NRC,5.335,0.4,5,2.7,2,25,27
Z43,1,C,M,NRC,0.901,2.5,4.33,6.83,5,27,32
Z43,1,N,M,NRC,0.988,1,6.75,7.75,11,21,32
Z43,1,R,M,NRC,1.606,3.67,5.25,8.92,10,13,23
Z44,1,A,M,CNR,1.478,4,4.25,8.25,32,34,66
Z44,1,C,M,CNR,0.936,3.2,4.4,7.6,16,22,38
Z44,1,N,M,CNR,1.423,3.2,4,7.2,16,16,32
Z45,1,A,M,CNR,4.514,2,3.75,5.75,16,30,46
Z45,1,C,M,CNR,15.552,2,3.2,5.2,10,16,26
Z45,1,N,M,CNR,5.823,3.2,2.2,5.4,16,11,27
Z45,1,R,M,CNR,6.689,2.5,3.4,5.9,15,17,32
Z46,2,C,F,NRC,1.066,1.4,4.8,6.2,7,26,33
Z46,2,N,F,NRC,1.141,1.17,5.2,6.37,9,11,20
Z46,2,R,F,NRC,1.403,1.8,2.75,4.55,7,24,31
Z5,1,A,M,NRC,11.545,2.13,3.75,5.88,17,30,47
Z5,1,C,M,NRC,11.539,2.8,5,7.8,12,33,45
Z5,1,N,M,NRC,4.727,2,6.6,8.6,22,23,45
Z5,1,R,M,NRC,10.712,4.4,4.6,9,14,25,39
Z6,2,A,M,CNR,5.53,4.14,2.75,6.89,29,22,51
Z6,2,C,M,CNR,7.895,3.8,3,6.8,19,12,31
Z6,2,N,M,CNR,9.284,3.6,4.2,7.8,18,21,39
Z6,2,R,M,CNR,9.345,2.33,3.4,5.73,14,17,31